year,annual_cost_increase,total_costs,initial_cost,continuing_cost,last_year_cost,is_trend_incidence,is_trend_survival,continuing_to_initial_ratio,last_year_to_initial_ratio,initial_cost_pct,continuing_cost_pct,last_year_cost_pct,cancer_site_AllSites,cancer_site_Bladder,cancer_site_Brain,cancer_site_Breast,cancer_site_Cervix,cancer_site_Colorectal,cancer_site_Esophagus,cancer_site_Head_Neck,cancer_site_Kidney,cancer_site_Leukemia,cancer_site_Lung,cancer_site_Lymphoma,cancer_site_Melanoma,cancer_site_Other,cancer_site_Ovary,cancer_site_Pancreas,cancer_site_Prostate,cancer_site_Stomach,cancer_site_Uterus,sex_Both sexes,sex_Females,sex_Males,age_All ages,scenario_base_case,scenario_trend_both,scenario_trend_incidence,scenario_trend_survival
2010,0.0,15920.9,5634.7,6639.5,3646.6,True,False,1.178323601966387,0.6471684384261807,35.391843425936976,41.70304442588045,22.90448404298752,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2010,0.0,16512.2,6037.6,6750.1,3724.5,False,True,1.118010467735524,0.6168841923943288,36.56447959690411,40.879470936640786,22.556049466455104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2010,0.0,15932.6,5634.7,6646.9,3651.0,True,True,1.1796368928248175,0.6479493140717341,35.36585365853659,41.718865721853305,22.915280619610108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,2.0,15932.6,5634.7,6646.9,3651.0,True,True,1.1796368928248175,0.6479493140717341,35.36585365853659,41.718865721853305,22.915280619610108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,5.0,15932.6,5634.7,6646.9,3651.0,True,True,1.1796368928248175,0.6479493140717341,35.36585365853659,41.718865721853305,22.915280619610108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,0.0,1545.7,492.5,368.3,684.9,False,False,0.7478172588832488,1.3906598984771572,31.862586530374585,23.827392120075046,44.31002134955036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2010,0.0,1394.1,386.0,355.7,652.4,True,False,0.9215025906735751,1.6901554404145076,27.688114195538343,25.514668962054373,46.79721684240729,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2010,0.0,1546.0,492.5,368.4,685.2,False,True,0.7480203045685279,1.391269035532995,31.856403622250973,23.829236739974125,44.32082794307892,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2010,0.0,1394.4,386.0,355.7,652.6,True,True,0.9215025906735751,1.6906735751295336,27.68215720022949,25.509179575444634,46.80149168100975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,2.0,1394.4,386.0,355.7,652.6,True,True,0.9215025906735751,1.6906735751295336,27.68215720022949,25.509179575444634,46.80149168100975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,5.0,1394.4,386.0,355.7,652.6,True,True,0.9215025906735751,1.6906735751295336,27.68215720022949,25.509179575444634,46.80149168100975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,0.0,14140.5,5928.9,3904.6,4307.0,False,False,0.6585707298149741,0.7264416670883301,41.928503235387716,27.61288497577879,30.458611788833494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,13304.0,5284.2,3845.7,4174.1,True,False,0.7277733620983309,0.7899208962567655,39.71888153938664,28.90634395670475,31.374774503908604,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,14186.2,5928.9,3924.6,4332.8,False,True,0.6619440368365127,0.7307932331461149,41.79343305465875,27.66491378945736,30.542358066289776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,13346.2,5284.2,3864.1,4197.9,True,True,0.73125544074789,0.7944248892926081,39.59329247276378,28.95281053783099,31.453896989405223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,13346.2,5284.2,3864.1,4197.9,True,True,0.73125544074789,0.7944248892926081,39.59329247276378,28.95281053783099,31.453896989405223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,13346.2,5284.2,3864.1,4197.9,True,True,0.73125544074789,0.7944248892926081,39.59329247276378,28.95281053783099,31.453896989405223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,1333.3,577.8,146.5,609.0,False,False,0.25354794046382834,1.0539979231568017,43.33608340208505,10.98777469436736,45.67614190354759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,1318.9,568.0,145.9,605.0,True,False,0.2568661971830986,1.0651408450704225,43.06619152323906,11.062248843733414,45.87155963302752,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,1370.7,577.8,154.1,638.8,False,True,0.26670128071997234,1.1055728625822083,42.15364412344058,11.242430874735536,46.60392500182388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,1356.0,568.0,153.4,634.6,True,True,0.2700704225352113,1.1172535211267607,41.88790560471977,11.312684365781712,46.79941002949853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,1356.0,568.0,153.4,634.6,True,True,0.2700704225352113,1.1172535211267607,41.88790560471977,11.312684365781712,46.79941002949853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,1356.0,568.0,153.4,634.6,True,True,0.2700704225352113,1.1172535211267607,41.88790560471977,11.312684365781712,46.79941002949853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,3635.7,1080.6,1007.7,1547.4,False,False,0.9325374791782345,1.4319822320932818,29.721924251175842,27.71680831751795,42.56126743130621,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,3517.5,996.8,999.0,1521.7,True,False,1.002207062600321,1.5265850722311398,28.33830845771144,28.400852878464818,43.26083866382374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,3640.6,1080.6,1009.5,1550.5,False,True,0.9342032204330928,1.434851008698871,29.681920562544633,27.728945778168434,42.58913365928693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,3522.2,996.8,1000.7,1524.7,True,True,1.0039125200642056,1.5295947030497594,28.300494009425925,28.411220260064734,43.288285730509344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,3522.2,996.8,1000.7,1524.7,True,True,1.0039125200642056,1.5295947030497594,28.300494009425925,28.411220260064734,43.288285730509344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,3522.2,996.8,1000.7,1524.7,True,True,1.0039125200642056,1.5295947030497594,28.300494009425925,28.411220260064734,43.288285730509344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,3798.3,1126.3,1586.5,1085.5,False,False,1.4085945130071917,0.9637751931101838,29.652739383408367,41.76868599110128,28.57857462549035,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,3976.2,1260.2,1605.4,1110.7,True,False,1.2739247738454214,0.8813680368195524,31.693576781852023,40.37523263417334,27.933705548010668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,3816.2,1126.3,1597.0,1092.9,False,True,1.4179170736038356,0.9703453786735329,29.51365232430166,41.847911535034854,28.638436140663494,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,3995.5,1260.2,1616.7,1118.7,True,True,1.2828916045072212,0.8877162355181717,31.54048304342385,40.46302089851083,27.99899887373295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,3995.5,1260.2,1616.7,1118.7,True,True,1.2828916045072212,0.8877162355181717,31.54048304342385,40.46302089851083,27.99899887373295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,3995.5,1260.2,1616.7,1118.7,True,True,1.2828916045072212,0.8877162355181717,31.54048304342385,40.46302089851083,27.99899887373295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,5438.1,798.2,2097.6,2542.3,False,False,2.627912803808569,3.185041343021799,14.677920597267427,38.572295470844594,46.749783931887976,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,5309.2,762.4,2060.5,2486.3,True,False,2.702649527806926,3.261149003147954,14.359978904543059,38.809990205680705,46.83003088977624,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,5470.0,798.2,2111.1,2560.7,False,True,2.6448258581809068,3.208093209721874,14.592321755027424,38.59414990859232,46.81352833638025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,5339.8,762.4,2073.4,2504.0,True,True,2.719569779643232,3.2843651626442814,14.277688302932692,38.82916963182142,46.89314206524588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,5339.8,762.4,2073.4,2504.0,True,True,2.719569779643232,3.2843651626442814,14.277688302932692,38.82916963182142,46.89314206524588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,5339.8,762.4,2073.4,2504.0,True,True,2.719569779643232,3.2843651626442814,14.277688302932692,38.82916963182142,46.89314206524588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,12120.7,5240.7,1850.0,5030.0,False,False,0.3530062777873185,0.9597954471730876,43.23760178867557,15.263144867870668,41.49925334345376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,11349.5,4738.5,1817.4,4793.7,True,False,0.3835390946502058,1.0116492560937005,41.75073791796996,16.013040222036214,42.23710295607736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,12196.0,5240.7,1870.8,5084.6,False,True,0.3569752132348732,0.9702139027229187,42.97064611347983,15.339455559199738,41.69071826828469,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,11418.4,4738.5,1836.4,4843.5,True,True,0.3875488023636172,1.0221589110478,41.49880893995656,16.082813704196735,42.4183773558467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,11418.4,4738.5,1836.4,4843.5,True,True,0.3875488023636172,1.0221589110478,41.49880893995656,16.082813704196735,42.4183773558467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,11418.4,4738.5,1836.4,4843.5,True,True,0.3875488023636172,1.0221589110478,41.49880893995656,16.082813704196735,42.4183773558467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,12142.5,3162.8,4890.0,4089.7,False,False,1.5460983938282533,1.2930631086379156,26.047354333951,40.27177269919704,33.680872966851965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,12086.3,3119.6,4884.9,4081.7,True,False,1.5658738299782022,1.3084049237081676,25.811042254453394,40.41683559071014,33.77129477176638,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,12186.1,3162.8,4913.0,4110.3,False,True,1.5533704312634373,1.2995763247755154,25.954160888225108,40.31642609202288,33.729413019752016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,12129.4,3119.6,4907.7,4102.1,True,True,1.5731824592896526,1.3149442236184128,25.719326594885157,40.46119346381519,33.819479941299655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,12129.4,3119.6,4907.7,4102.1,True,True,1.5731824592896526,1.3149442236184128,25.719326594885157,40.46119346381519,33.819479941299655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,12129.4,3119.6,4907.7,4102.1,True,True,1.5731824592896526,1.3149442236184128,25.719326594885157,40.46119346381519,33.819479941299655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,2363.2,490.2,1542.4,330.6,False,False,3.146470828233374,0.6744186046511629,20.743060257278266,65.26743398781313,13.9895057549086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,2460.3,562.9,1555.2,342.2,True,False,2.7628353171078346,0.6079232545745248,22.87932365971629,63.21180343860504,13.908872901678656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,2364.9,490.2,1543.7,331.0,False,True,3.149122807017544,0.6752345981232151,20.728149181783586,65.27548733561672,13.996363482599685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
